eating_place,busy_metric,time_day,day_week
DUC,9.120203984219315e-07,14.1,T
Subway,2.8855292563197634e-06,14.1,T
Parkside,1.3799324410665373e-07,14.1,T
Whispers,3.581062204864667e-06,14.1,T
Stanleys,1.550003546986776e-06,14.1,T
Law Cafe,8.744983673625912e-09,14.1,T
Bytes,1.8143954303693888e-09,14.1,T
Hillman Food,62.61915225720021,14.1,W
DUC,140.25014317722608,14.1,W
Subway,156.95706124792392,14.1,W
Parkside,63.90853425397026,14.1,W
Whispers,171.40958056318732,14.1,W
Stanleys,110.55714971342867,14.1,W
Law Cafe,119.33114819149232,14.1,W
Bytes,0.00010134572215576962,14.1,W
Hillman Food,1.813456341179784e-07,14.1,H
DUC,2.516096098028735e-06,14.1,H
Subway,5.611232519889153e-06,14.1,H
Parkside,1.3958848384477671e-07,14.1,H
Whispers,5.5787339187283535e-06,14.1,H
Stanleys,2.153199517003328e-06,14.1,H
Law Cafe,1.8218381838957756e-08,14.1,H
Bytes,1.814428552747605e-09,14.1,H
Hillman Food,60.550569938507294,14.1,F
DUC,135.64951978403644,14.1,F
Subway,151.8285477582568,14.1,F
Parkside,61.797605298443116,14.1,F
Whispers,165.86145664470118,14.1,F
Stanleys,106.93156647580989,14.1,F
Law Cafe,115.40222177943076,14.1,F
Bytes,5.0759544414333425e-05,14.1,F
Hillman Food,54.49521490785904,14.2,M
DUC,122.0845292884552,14.2,M
Subway,136.64552329651897,14.2,M
Parkside,55.6170887687764,14.2,M
Whispers,149.27373190180322,14.2,M
Stanleys,96.23323058469276,14.2,M
